action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
[con_ready3],150,688.2030017320407,14,12,16,3,false,false,true,11,false,11,false,17,true,11,2,false,false,false,4,false,4,false,1,false
[consuming3],151,688.489933442336,14,12,16,2,false,false,false,11,false,11,false,18,false,11,2,false,false,false,4,false,4,false,1,false
[con_ready13],152,692.4032320867661,14,12,16,2,false,false,false,11,false,11,false,18,false,11,2,false,false,true,4,false,4,false,1,true
[producing2],153,692.9558893332694,14,13,16,3,false,false,false,11,false,11,false,18,false,11,2,false,false,true,4,false,4,false,1,true
[consuming13],154,693.825308965723,14,13,16,3,false,false,false,11,false,11,false,18,false,11,1,false,false,false,4,false,4,false,2,false
[con_ready3],155,713.0442855392618,14,13,16,3,false,false,true,11,false,11,false,18,true,11,1,false,false,false,4,false,4,false,2,false
[consuming3],156,713.1847376628741,14,13,16,2,false,false,false,11,false,11,false,19,false,11,1,false,false,false,4,false,4,false,2,false
[producing2],157,715.862882226051,14,14,16,3,false,false,false,11,false,11,false,19,false,11,1,false,false,false,4,false,4,false,2,false
[con_ready11],158,717.7105751063234,14,14,16,3,false,false,false,11,false,11,false,19,false,11,1,true,false,false,4,true,4,false,2,false
[consuming11],159,717.7221089508454,14,14,16,3,false,false,false,11,false,11,false,19,false,11,0,false,false,false,5,false,4,false,2,false
[con_ready2],160,722.6027335232162,14,14,16,3,false,true,false,11,false,11,true,19,false,11,0,false,false,false,5,false,4,false,2,false
[consuming2],161,728.328082772405,14,14,16,2,false,false,false,11,false,12,false,19,false,11,0,false,false,false,5,false,4,false,2,false
[producing3],162,730.7451757607781,14,14,17,3,false,false,false,11,false,12,false,19,false,11,0,false,false,false,5,false,4,false,2,false
[forwarding],163,731.6243162864807,14,14,17,3,false,false,false,11,false,12,false,19,false,12,1,false,false,false,5,false,4,false,2,false
