,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6
177,REST_X0,177,2,0,0,0,0,0,0
178,[X0_X5_GET_req],178,3,0,0,0,0,1,0
179,REST_X5,179,3,0,0,0,0,2,0
180,REST_X5,180,3,0,0,0,0,5,0
181,[X5_X3_GET_req],181,3,0,0,1,0,6,0
182,REST_X3,182,3,0,0,2,0,6,0
183,REST_X3,183,3,0,0,5,0,6,0
184,[X3_X1_GET_req],184,3,1,0,6,0,6,0
185,REST_X1,185,3,2,0,6,0,6,0
186,REST_X1,186,3,5,0,6,0,6,0
187,[X1_X2_GET_req],187,3,6,1,6,0,6,0
188,REST_X2,188,3,6,2,6,0,6,0
189,REST_X2,189,3,6,5,6,0,6,0
190,[X2_X4_GET_req],190,3,6,6,6,1,6,0
191,REST_X4,191,3,6,6,6,2,6,0
192,REST_X4,192,3,6,6,6,3,6,0
193,[X2_X4_GET_resp_2xx],193,3,6,3,6,0,6,0
194,[X1_X2_GET_resp_2xx],194,3,3,0,6,0,6,0
195,[X3_X1_GET_resp_2xx],195,3,0,0,3,0,6,0
196,[X5_X3_GET_resp_2xx],196,3,0,0,0,0,3,0
197,[X0_X5_GET_resp_2xx],197,0,0,0,0,0,0,0
198,REST_X0,198,2,0,0,0,0,0,0
199,[X0_X5_GET_req],199,3,0,0,0,0,1,0
200,REST_X5,200,3,0,0,0,0,2,0
201,REST_X5,201,3,0,0,0,0,5,0
202,[X5_X3_GET_req],202,3,0,0,1,0,6,0
203,REST_X3,203,3,0,0,2,0,6,0
204,REST_X3,204,3,0,0,5,0,6,0
205,[X3_X1_GET_req],205,3,1,0,6,0,6,0
206,REST_X1,206,3,2,0,6,0,6,0
207,REST_X1,207,3,5,0,6,0,6,0
208,[X1_X2_GET_req],208,3,6,1,6,0,6,0
209,REST_X2,209,3,6,2,6,0,6,0
210,REST_X2,210,3,6,5,6,0,6,0
211,[X2_X4_GET_req],211,3,6,6,6,1,6,0
212,REST_X4,212,3,6,6,6,2,6,0
213,REST_X4,213,3,6,6,6,3,6,0
214,[X2_X4_GET_resp_2xx],214,3,6,3,6,0,6,0
215,[X1_X2_GET_resp_2xx],215,3,3,0,6,0,6,0
