action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,f2,c3,getting3,f3,b1,serving11,serving12,serving13,b2,serving21,serving22,serving23,c11,getting11,c12,getting12,c13,getting13,c21,getting21,c22,getting22,c23,getting23
[forwarding3],60,166.08143595794223,5,3,13,8,false,false,false,6,false,2,false,1,5,false,4,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[con_ready1],61,174.44699848656927,5,3,13,8,true,false,false,6,true,2,false,1,5,false,4,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[consuming1],62,174.90641542339398,5,3,13,7,false,false,false,7,false,2,false,1,5,false,4,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[producing3],63,181.24333391956534,5,3,14,8,false,false,false,7,false,2,false,1,5,false,4,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[producing2],64,181.3415912584478,5,4,14,9,false,false,false,7,false,2,false,1,5,false,4,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[forwarding3],65,191.37611614085853,5,4,14,9,false,false,false,7,false,2,false,1,5,false,5,0,false,false,false,2,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[producing3],66,191.3843877973434,5,4,15,10,false,false,false,7,false,2,false,1,5,false,5,0,false,false,false,2,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[con_ready22],67,198.3307331457893,5,4,15,10,false,false,false,7,false,2,false,1,5,false,5,0,false,false,false,2,false,true,false,0,false,0,false,1,false,1,false,2,true,0,false
[consuming22],68,199.55408275305044,5,4,15,10,false,false,false,7,false,2,false,1,5,false,5,0,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,3,false,0,false
[forwarding2],69,213.13423402442308,5,4,15,10,false,false,false,7,false,2,false,2,5,false,5,1,false,false,false,1,false,false,false,0,false,0,false,1,false,1,false,3,false,0,false
[con_ready21],70,213.84902612132544,5,4,15,10,false,false,false,7,false,2,false,2,5,false,5,1,false,false,false,1,true,false,false,0,false,0,false,1,false,1,true,3,false,0,false
[con_ready11],71,217.21662473628152,5,4,15,10,false,false,false,7,false,2,false,2,5,false,5,1,true,false,false,1,true,false,false,0,true,0,false,1,false,1,true,3,false,0,false
[consuming11],72,218.12582508135853,5,4,15,10,false,false,false,7,false,2,false,2,5,false,5,0,false,false,false,1,true,false,false,1,false,0,false,1,false,1,true,3,false,0,false
[consuming21],73,218.8480767659324,5,4,15,10,false,false,false,7,false,2,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready2],74,227.57206742772644,5,4,15,10,false,true,false,7,false,2,true,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming2],75,227.9375041656606,5,4,15,9,false,false,false,7,false,3,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing3],76,230.56460829003524,5,4,16,10,false,false,false,7,false,3,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready2],77,244.6392871056412,5,4,16,10,false,true,false,7,false,3,true,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming2],78,245.11858293801794,5,4,16,9,false,false,false,7,false,4,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing2],79,251.15768953652136,5,5,16,10,false,false,false,7,false,4,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],80,253.45443948664027,5,5,16,10,true,false,false,7,true,4,false,2,5,false,5,0,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[forwarding2],81,254.2527240865161,5,5,16,10,true,false,false,7,true,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming1],82,254.56101749408924,5,5,16,9,false,false,false,8,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing2],83,262.2382518692393,5,6,16,10,false,false,false,8,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],84,269.6097642333056,5,6,16,10,true,false,false,8,true,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming1],85,269.7976820544065,5,6,16,9,false,false,false,9,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing3],86,270.57935212514985,5,6,17,10,false,false,false,9,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],87,270.96299918741977,5,6,17,10,true,false,false,9,true,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming1],88,271.0044283948195,5,6,17,9,false,false,false,10,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[producing2],89,272.3669229086487,5,7,17,10,false,false,false,10,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready1],90,273.69991881851837,5,7,17,10,true,false,false,10,true,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming1],91,275.1048022654522,5,7,17,9,false,false,false,11,false,4,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[con_ready2],92,281.4461501321751,5,7,17,9,false,true,false,11,false,4,true,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
[consuming2],93,281.6442936594258,5,7,17,8,false,false,false,11,false,5,false,3,5,false,5,1,false,false,false,0,false,false,false,1,false,0,false,1,false,2,false,3,false,0,false
